comparison	metric	mean_diff	ci95_low	ci95_high	p_le_zero	p_value
A1_vs_A0	geo_mrr	0.023600	0.020395	0.026800	0.000000	0.000198
A1_vs_A0	geo_hits10	0.066393	0.054166	0.076421	0.000000	0.000447
A1_vs_A0	band_mrr	-0.026600	-0.039800	-0.009400	0.997600	0.043225
A1_vs_A0	band_hits10	-0.000075	-0.000224	0.000000	1.000000	0.373901
A2_vs_A0	geo_mrr	0.022000	0.016600	0.026200	0.000000	0.001438
A2_vs_A0	geo_hits10	0.066393	0.050662	0.082796	0.000000	0.001771
A2_vs_A0	band_mrr	-0.026400	-0.039800	-0.011600	1.000000	0.031943
A2_vs_A0	band_hits10	-0.000112	-0.000335	0.000000	1.000000	0.373901
A2_vs_A1	geo_mrr	-0.001600	-0.004600	0.002000	0.835100	0.450019
A2_vs_A1	geo_hits10	0.000000	-0.012004	0.012637	0.530300	1.000000
A2_vs_A1	band_mrr	0.000200	-0.005200	0.005200	0.481100	0.950698
A2_vs_A1	band_hits10	-0.000037	-0.000112	0.000000	1.000000	0.373901
